,$c_j$,-2,-2,-4,0,0,0,
$C_b$,Basis,$x_1$,$x_2$,$x_3$,$s_1$,$s_2$,$s_3$,$b$
0,$s_1$,-2,-3,-5,1,0,0,-2
0,$s_2$,3,1,7,0,1,0,3
0,$s_3$,1,4,6,0,0,1,5
,$Z_j$,0,0,0,0,0,0,0
,$c_j – Z_j$,-2,-2,-4,0,0,0,
,$c_j$,-2,-2,-4,0,0,0,
$C_b$,Basis,$x_1$,$x_2$,$x_3$,$s_1$,$s_2$,$s_3$,$b$
0,$s_1$,-2.00,-3.00,-5.00,1.00,0.00,0.00,-2.00
0,$s_2$,3.00,1.00,7.00,0.00,1.00,0.00,3.00
0,$s_3$,1.00,4.00,6.00,0.00,0.00,1.00,5.00
iter ,$Z_j$,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,$c_j – Z_j$,-2.00,-2.00,-4.00,0.00,0.00,0.00,
,ratios,1.00,0.67,0.80,0.00,#DIV/0!,#DIV/0!,
,$c_j$,-2,-2,-4,0,0,0,
$C_b$,Basis,$x_1$,$x_2$,$x_3$,$s_1$,$s_2$,$s_3$,b
-2,$x_2$,0.67,1.00,1.67,-0.33,0.00,0.00,0.67
0,$s_2$,2.33,0.00,5.33,0.33,1.00,0.00,2.33
0,$s_3$,-1.67,0.00,-0.67,1.33,0.00,1.00,2.33
iter ,$Z_j$,-1.33,-2.00,-3.33,0.67,0.00,0.00,-1.33
1,$c_j – Z_j$,-0.67,0.00,-0.67,-0.67,0.00,0.00,
